user_id,location,moved_after_2019,companies_worked,max_duration,Business,Design,IT,Other,N_Skills,English,German,Turkish,French,Spanish,Chinese,NLanguages,start_date_edu,end_date_edu,degree_edu,field_edu
1301,Turkey,1,4,1645,2,0,4,17,23,3,0,5,0,0,0,4,2100-01-01,2100-01-01,2,Other
6950,Turkey,0,4,1402,0,0,17,32,49,3,0,0,0,0,0,3,2100-01-01,2100-01-01,1,Other
4880,Turkey,0,4,1216,0,2,4,15,21,2,0,5,0,0,0,2,2100-01-01,2100-01-01,2,Other
26046,Turkey,0,1,1856,0,0,7,23,30,2,0,0,0,0,0,2,2100-01-01,2100-01-01,1,Business
11005,Turkey,0,3,2769,0,1,10,37,48,3,0,5,0,0,0,3,2100-01-01,2100-01-01,1,Other
61135,Turkey,0,3,1219,1,6,0,27,34,2,0,0,0,0,0,1,2100-01-01,2100-01-01,1,Other
14242,Turkey,1,6,1918,0,0,9,24,33,2,0,2,0,0,0,3,2100-01-01,2100-01-01,3,Other
44948,Turkey,0,3,4322,0,0,13,37,50,4,1,5,1,0,0,2,2100-01-01,2100-01-01,1,Other
65923,Turkey,0,1,1491,0,0,1,7,8,2,0,5,0,0,0,2,2100-01-01,2100-01-01,3,Science
29026,Turkey,0,2,0,0,1,2,7,10,3,0,5,2,0,0,2,2017-01-01,2025-07-01,2,Other
45820,Turkey,0,2,0,0,0,4,5,9,3,0,0,0,0,0,2,2016-01-01,2022-08-01,2,Engineering
40150,Turkey,0,1,1280,0,0,4,9,13,2,0,5,0,0,0,2,2020-09-01,2021-09-01,1,Other
3576,Turkey,1,3,1461,0,1,7,27,35,2,0,5,0,0,0,2,2100-01-01,2100-01-01,2,Other
1677,Turkey,0,1,214,0,0,6,15,21,2,0,5,0,0,0,2,2100-01-01,2100-01-01,1,Engineering
11204,Turkey,0,3,1065,1,0,12,37,50,4,0,5,0,0,0,3,2100-01-01,2100-01-01,3,Other
60843,Turkey,1,2,972,0,0,4,14,18,2,0,5,0,0,0,2,2016-06-01,2021-06-01,1,Engineering
48906,Turkey,1,4,1461,1,0,8,18,27,3,0,0,0,0,0,1,2100-01-01,2100-01-01,2,Engineering
15537,Turkey,1,3,1856,0,1,14,25,40,4,0,0,0,0,0,3,2100-01-01,2100-01-01,2,Other
65040,Turkey,1,2,334,0,1,10,14,25,4,0,5,0,0,0,1,2021-10-01,2100-01-01,3,Other
24147,Turkey,0,3,1614,1,1,3,22,27,3,0,5,0,0,0,2,2100-01-01,2100-01-01,1,Engineering
14620,Turkey,0,1,2344,0,0,8,11,19,3,1,5,0,0,0,3,2100-01-01,2100-01-01,1,Other
4598,Turkey,0,2,1431,0,0,0,11,11,2,0,5,0,0,0,2,2100-01-01,2100-01-01,3,Other
33138,Turkey,0,2,730,0,0,5,21,26,2,0,5,0,0,0,2,2100-01-01,2100-01-01,1,Engineering
16871,Turkey,0,2,0,0,0,7,4,11,4,0,5,0,0,0,2,2100-01-01,2100-01-01,2,Engineering
16118,Turkey,0,1,2526,0,0,12,29,41,2,0,5,0,0,0,3,2100-01-01,2100-01-01,2,Other
22581,Turkey,0,2,0,0,0,1,4,5,2,0,5,0,0,0,2,2017-09-01,2021-10-01,2,Other
12595,Turkey,1,3,2892,0,0,11,39,50,2,0,0,0,0,0,3,2100-01-01,2100-01-01,1,Other
9437,Turkey,1,3,912,0,0,8,27,35,2,0,2,0,0,0,3,2100-01-01,2100-01-01,3,Other
53525,Turkey,0,2,0,0,0,5,3,8,2,0,5,0,0,0,2,2100-01-01,2100-01-01,2,Other
44170,Turkey,1,2,1005,0,0,6,10,16,2,0,5,0,0,0,2,2012-01-01,2013-09-01,3,Other
32805,Turkey,0,1,2345,0,0,9,28,37,2,0,0,0,0,0,2,2100-01-01,2100-01-01,3,Other
55955,Turkey,0,1,1400,0,0,3,11,14,2,0,0,0,0,0,1,2100-01-01,2100-01-01,2,Business
49355,Turkey,0,2,2891,0,0,6,10,16,2,0,0,0,0,0,1,2100-01-01,2100-01-01,2,Other
32141,Turkey,0,6,2526,1,1,2,16,20,2,0,5,0,0,0,2,2100-01-01,2100-01-01,1,Other
53746,Turkey,0,4,1034,0,0,2,8,10,4,4,5,0,0,0,1,2100-01-01,2100-01-01,2,Other
65651,Turkey,1,6,3377,0,0,14,36,50,5,1,5,0,0,0,1,2100-01-01,2100-01-01,3,Other
10573,Turkey,0,2,1218,0,0,5,8,13,2,0,5,0,0,0,2,2100-01-01,2100-01-01,2,Other
32557,Turkey,0,1,488,0,1,2,26,29,3,1,5,0,0,0,2,2100-01-01,2100-01-01,2,Business
35150,Turkey,0,1,18628,0,0,6,15,21,2,0,5,0,0,0,2,2100-01-01,2100-01-01,1,Engineering
43772,Turkey,1,2,2375,0,1,8,21,30,2,0,5,0,0,0,2,2100-01-01,2100-01-01,2,Other
38391,Turkey,0,2,1584,0,1,5,28,34,3,0,0,0,0,0,2,2100-01-01,2100-01-01,2,Other
49826,Turkey,1,3,4261,0,0,20,30,50,5,0,5,0,0,0,1,2100-01-01,2100-01-01,1,Other
46199,Turkey,0,2,0,0,0,5,18,23,2,0,5,0,0,0,2,2100-01-01,2100-01-01,2,Engineering
